platform_label,measurement_label,process
STA_Sitka1,H1_OmegaAragSat,FALSE
STA_Sitka1,H1_OxygenSat,FALSE
STA_Sitka1,H1_pH,FALSE
STA_Sitka1,H1_Salinity,FALSE
STA_Sitka1,H1_TCO2,FALSE
STA_Sitka1,H1_WaterTemp,FALSE
STA_Sitka1,H2_CO2,FALSE
TAF_Dabobbay,H1_AlkalinityTot,TRUE
TAF_Dabobbay,H1_OmegaAragSat,FALSE
TAF_Dabobbay,H1_OxygenSat,TRUE
TAF_Dabobbay,H1_pH,TRUE
TAF_Dabobbay,H1_Salinity,TRUE
TAF_Dabobbay,H1_TCO2,TRUE
TAF_Dabobbay,H1_WaterTemp,TRUE
TAF_Dabobbay,H2_CO2,TRUE
WCSH_Whiskey1,H1_AlkalinityTot,TRUE
WCSH_Whiskey1,H1_OmegaAragSat,FALSE
WCSH_Whiskey1,H1_OxygenSat,TRUE
WCSH_Whiskey1,H1_pH,TRUE
WCSH_Whiskey1,H1_Salinity,TRUE
WCSH_Whiskey1,H1_TCO2,TRUE
WCSH_Whiskey1,H1_WaterTemp,TRUE
WCSH_Whiskey1,H2_CO2,TRUE
cencoos_Carquinez,H1_Chlorophyll,FALSE
cencoos_Carquinez,H1_Conductiv,FALSE
cencoos_Carquinez,H1_Oxygen,TRUE
cencoos_Carquinez,H1_OxygenSat,TRUE
cencoos_Carquinez,H1_pH,TRUE
cencoos_Carquinez,H1_Pressure,TRUE
cencoos_Carquinez,H1_Salinity,TRUE
cencoos_Carquinez,H1_Turbidity,FALSE
cencoos_Carquinez,H1_WaterTemp,TRUE
cencoos_Humboldt,A1_PhotActiveRad,FALSE
cencoos_Humboldt,A1_SolarRad,FALSE
cencoos_Humboldt,H1_Chlorophyll,FALSE
cencoos_Humboldt,H1_Conductiv,FALSE
cencoos_Humboldt,H1_Oxygen,TRUE
cencoos_Humboldt,H1_OxygenSat,TRUE
cencoos_Humboldt,H1_pH,TRUE
cencoos_Humboldt,H1_Pressure,TRUE
cencoos_Humboldt,H1_Salinity,TRUE
cencoos_Humboldt,H1_Turbidity,FALSE
cencoos_Humboldt,H1_WaterDepth,FALSE
cencoos_Humboldt,H1_WaterTemp,TRUE
cencoos_Tiburon,H1_Chlorophyll,FALSE
cencoos_Tiburon,H1_Conductiv,FALSE
cencoos_Tiburon,H1_Oxygen,TRUE
cencoos_Tiburon,H1_OxygenSat,TRUE
cencoos_Tiburon,H1_pH,TRUE
cencoos_Tiburon,H1_Pressure,TRUE
cencoos_Tiburon,H1_Salinity,TRUE
cencoos_Tiburon,H1_Turbidity,FALSE
cencoos_Tiburon,H1_WaterTemp,TRUE
cencoos_Trinidad,H1_Chlorophyll,FALSE
cencoos_Trinidad,H1_Oxygen,TRUE
cencoos_Trinidad,H1_OxygenSat,TRUE
cencoos_Trinidad,H1_pH,TRUE
cencoos_Trinidad,H1_Pressure,TRUE
cencoos_Trinidad,H1_Salinity,TRUE
cencoos_Trinidad,H1_Turbidity,FALSE
cencoos_Trinidad,H1_WaterDepth,FALSE
cencoos_Trinidad,H1_WaterTemp,TRUE
