platform_label,measurement_label,measurement_depth,measurement_time,value,units
OSU_CB06,A1_AirTemp,2.1m,1528387200,52.39238,°F
OSU_CB06,A1_BarPress,2.1m,1526151600,30.23331601,inHg
OSU_CB06,A1_CO2Air,3m,1632701820,410.8000,ppm
OSU_CB06,A1_SolarRad,2.1m,1538938800,117.1040,W/m²
OSU_CB06,A1_WindDir,2.7m,1538920800,38.1000,deg (from)
OSU_CB06,A1_WindSpeed,2.7m,1538920800,4.3996965096,knots
OSU_CB06,H1_CO2,-1m,1632701820,383.2000,ppm
OSU_CB06,H1_pH,-1m,1609406220,7.9830,
OSU_CB06,H1_Salinity,-1.5m,1538938800,0.5130,PSU
OSU_CB06,H1_Salinity,-1m,1632701820,32.2700,PSU
OSU_CB06,H1_WaterTemp,-1.5m,1538938800,52.19276,°F
OSU_CB06,H1_WaterTemp,-1m,1632701820,58.424,°F
OSU_CB06,H2_Conductiv,-1.5m,1538938800,0.0759,S/m
OSU_NH10,A1_AirTemp,2.1m,1476406800,50.56574,°F
OSU_NH10,A1_BarPress,2.1m,1409929200,30.15145885,inHg
OSU_NH10,A1_SolarRad,2.1m,1449284400,0.3196,W/m²
OSU_NH10,A1_WindDir,2.7m,1409929200,292.2406,deg (from)
OSU_NH10,A1_WindSpeed,2.7m,1476399600,47.0410248,knots
OSU_NH10,H1_Pressure,-70m,1409929200,70.5210,dbar
OSU_NH10,H1_Salinity,-1.5m,1476446400,32.3261,PSU
OSU_NH10,H1_Salinity,-1m,1492895820,32.1300,PSU
OSU_NH10,H1_WaterTemp,-1.5m,1476446400,54.39596,°F
OSU_NH10,H1_WaterTemp,-1m,1492895820,51.656,°F
OSU_NH10,H2_Conductiv,-1.5m,1476446400,37.6410,S/m
PMELCO2_coastalla,A1_CO2Air,1m,1632701820,407.2000,ppm
PMELCO2_coastalla,H1_CO2,-0.8m,1632701820,272.3000,ppm
PMELCO2_coastalla,H1_pH,-0.8m,1632701820,8.2120,
PMELCO2_coastalla,H1_Salinity,-0.8m,1632701820,25.7300,PSU
PMELCO2_coastalla,H1_WaterTemp,-0.8m,1632701820,79.844,°F
PMELCO2_155w0,A1_CO2Air,1m,1632691020,411.0000,ppm
PMELCO2_155w0,H1_CO2,-0.8m,1632691020,513.7000,ppm
PMELCO2_155w0,H1_Salinity,-0.8m,1323206220,35.1000,PSU
PMELCO2_155w0,H1_WaterTemp,-0.8m,1339449420,81.41,°F
PMELCO2_165e0,A1_CO2Air,1m,1632755820,407.0000,ppm
PMELCO2_165e0,H1_CO2,-0.8m,1632755820,341.9000,ppm
PMELCO2_165e0,H1_pH,-0.8m,1632755820,8.1320,
PMELCO2_165e0,H1_Salinity,-0.8m,1632755820,34.5600,PSU
PMELCO2_165e0,H1_WaterTemp,-0.8m,1632755820,42.224,°F
PMELCO2_165e8s,A1_CO2Air,1m,1632766620,403.7000,ppm
PMELCO2_165e8s,H1_CO2,-0.8m,1632766620,411.4000,ppm
PMELCO2_165e8s,H1_Salinity,-0.8m,1321359420,35.1100,PSU
PMELCO2_165e8s,H1_WaterTemp,-0.8m,1321359420,85.658,°F
PMELCO2_170w,A1_CO2Air,1m,1632766620,403.4000,ppm
PMELCO2_170w,H1_CO2,-0.8m,1632766620,506.1000,ppm
PMELCO2_170w,H1_Salinity,-0.8m,1296821820,35.2400,PSU
PMELCO2_170w,H1_WaterTemp,-0.8m,1296821820,78.386,°F
PMELCO2_HogReef,A1_CO2Air,1m,1544800620,412.6000,ppm
PMELCO2_HogReef,H1_CO2,-0.8m,1544800620,373.8000,ppm
PMELCO2_HogReef,H1_Salinity,-0.8m,1544195820,37.0200,PSU
PMELCO2_HogReef,H1_WaterTemp,-0.8m,1544195820,72.536,°F
PMELCO2_alawai,A1_CO2Air,1m,1613585820,415.5000,ppm
PMELCO2_alawai,H1_CO2,-0.8m,1613585820,420.8000,ppm
PMELCO2_alawai,H1_Salinity,-0.8m,1613585820,34.7200,PSU
PMELCO2_alawai,H1_WaterTemp,-0.8m,1613585820,77.126,°F
PMELCO2_cce1,A1_CO2Air,1m,1632723420,411.9000,ppm
PMELCO2_cce1,H1_CO2,-0.8m,1632723420,391.1000,ppm
PMELCO2_cce1,H1_pH,-0.8m,1632723420,8.0560,
PMELCO2_cce1,H1_Salinity,-0.8m,1632723420,33.3600,PSU
PMELCO2_cce1,H1_WaterTemp,-0.8m,1632723420,64.31,°F
PMELCO2_cce2,A1_CO2Air,1m,1632691020,414.4000,ppm
PMELCO2_cce2,H1_CO2,-0.8m,1632691020,281.4000,ppm
PMELCO2_cce2,H1_pH,-0.8m,1623813420,7.8990,
PMELCO2_cce2,H1_Salinity,-0.8m,1632691020,33.5500,PSU
PMELCO2_cce2,H1_WaterTemp,-0.8m,1632691020,58.838,°F
PMELCO2_cheeca,A1_CO2Air,1m,1632691020,404.4000,ppm
PMELCO2_cheeca,H1_CO2,-0.8m,1632691020,429.8000,ppm
PMELCO2_cheeca,H1_pH,-0.8m,1632691020,8.0020,
PMELCO2_cheeca,H1_Salinity,-0.8m,1631567820,35.6200,PSU
PMELCO2_cheeca,H1_WaterTemp,-0.8m,1631567820,87.584,°F
PMELCO2_chuukk1,A1_CO2Air,1m,1618003020,408.2000,ppm
PMELCO2_chuukk1,H1_CO2,-0.8m,1618003020,419.1000,ppm
PMELCO2_chuukk1,H1_pH,-0.8m,1605475020,7.9270,
PMELCO2_chuukk1,H1_Salinity,-0.8m,1616793420,34.2200,PSU
