station_id,date_time,parameter,value,unit,depth,depth_unit
PMELCO2_cce2,2021-10-05 02:17:00-07:00,salinity,33.32,PSU,-3,ft
PMELCO2_alawai,2013-10-30 20:17:00-07:00,water_temperature,80.78,°F,-3,ft
PMELCO2_cce2,2013-01-10 07:17:00-08:00,co2,394.5,ppm,-3,ft
KC_SEAQYSI,2021-09-19 09:00:00-07:00,oxygen_saturation,65.4,%,-33,ft
NERRS_sfbsmwq,2021-10-06 02:00:00-07:00,water_temperature,49.46,°F,-25,ft
PMELCO2_cce2,2017-12-24 04:17:00-08:00,co2,390.8,ppm,-3,ft
PMELCO2_cce2,2012-08-26 14:17:00-07:00,water_temperature,62.276,°F,-3,ft
PMELCO2_cce2,2016-06-02 02:17:00-07:00,salinity,33.04,PSU,-3,ft
NERRS_tjroswq,2021-10-20 20:15:00-07:00,water_temperature,66.92,°F,4,ft
PMELCO2_whots,2017-05-29 05:17:00-07:00,co2,408.4,ppm,-3,ft
NERRS_sfbgcwq,2021-09-03 22:15:00-07:00,oxygen_concentration,9.4,mg/L,-10,ft
NERRS_sfbgcwq,2021-10-13 16:00:00-07:00,oxygen_saturation,12.9,%,-30,ft
NERRS_sfbsmwq,2021-09-21 15:45:00-07:00,pH,7.7,,-9,ft
PMELCO2_crimp,2011-11-18 22:17:00-08:00,water_temperature,77.378,°F,-3,ft
NERRS_tjroswq,2021-09-16 20:15:00-07:00,salinity,33.4,PSU,5,ft
PMELCO2_cce1,2013-03-28 05:17:00-07:00,co2,422.1,ppm,-3,ft
PMELCO2_kaneohe,2014-08-16 05:17:00-07:00,pH,8.024,,-3,ft
NDBC_46041,2021-09-07 12:30:00-07:00,air_pressure,30.049728,inHg,0,ft
NERRS_sfbsmwq,2021-09-30 07:00:00-07:00,oxygen_saturation,22.3,%,-23,ft
PMELCO2_crimp,2019-09-26 14:17:00-07:00,co2,658.2,ppm,-3,ft
PMELCO2_whots,2018-06-06 14:17:00-07:00,co2,395.2,ppm,-3,ft
NDBC_46041,2021-10-10 14:40:00-07:00,air_pressure,30.218049,inHg,0,ft
PMELCO2_whots,2015-12-09 04:17:00-08:00,pH,8.106,,-3,ft
PMELCO2_cce2,2010-12-08 16:17:00-08:00,water_temperature,55.148,°F,-3,ft
PMELCO2_cce1,2017-07-06 23:17:00-07:00,co2,422.3,ppm,-3,ft
NERRS_tjroswq,2021-10-07 04:30:00-07:00,oxygen_saturation,0.3,%,3,ft
PMELCO2_crimp,2020-06-28 05:17:00-07:00,pH,7.936,,-3,ft
NERRS_pdbbywq,2021-10-28 09:15:00-07:00,salinity,29.7,PSU,-11,ft
PMELCO2_cce1,2016-04-17 11:17:00-07:00,salinity,33.07,PSU,-3,ft
PMELCO2_cce1,2013-11-19 13:17:00-08:00,co2,388.6,ppm,-3,ft
NERRS_tjroswq,2021-09-23 22:45:00-07:00,oxygen_saturation,83.5,%,4,ft
PMELCO2_kaneohe,2018-11-01 08:17:00-07:00,water_temperature,79.862,°F,-3,ft
NERRS_tjroswq,2021-09-29 03:30:00-07:00,oxygen_concentration,3.0,mg/L,3,ft
PMELCO2_alawai,2012-06-29 05:17:00-07:00,co2,389.1,ppm,-3,ft
PMELCO2_whots,2017-02-17 13:17:00-08:00,water_temperature,74.93,°F,-3,ft
PMELCO2_crimp,2021-01-09 07:17:00-08:00,water_temperature,76.622,°F,-3,ft
PMELCO2_kaneohe,2018-10-23 02:17:00-07:00,water_temperature,80.366,°F,-3,ft
NERRS_soswiwq,2021-10-16 03:00:00-07:00,oxygen_concentration,8.1,mg/L,-1,ft
PMELCO2_crimp,2020-11-10 04:17:00-08:00,pH,7.839,,-3,ft
NDBC_46041,2021-11-01 16:30:00-07:00,water_temperature,53.96,°F,-2,ft
NERRS_elkvmwq,2021-10-07 00:00:00-07:00,oxygen_concentration,8.2,mg/L,5,ft
PMELCO2_cce1,2018-12-04 19:17:00-08:00,co2,388.6,ppm,-3,ft
NERRS_sfbccwq,2021-11-02 00:00:00-07:00,oxygen_saturation,1.6,%,-25,ft
NERRS_pdbbpwq,2021-09-12 02:00:00-07:00,salinity,30.0,PSU,-5,ft
NERRS_soswiwq,2021-09-26 19:30:00-07:00,salinity,29.7,PSU,-4,ft
NERRS_sfbgcwq,2021-09-25 04:45:00-07:00,salinity,74.8,PSU,-19,ft
PMELCO2_crimp,2009-04-17 23:16:00-07:00,salinity,35.01,PSU,-3,ft
PMELCO2_cce1,2019-06-21 17:17:00-07:00,water_temperature,60.566,°F,-3,ft
NERRS_pdbbpwq,2021-10-06 14:45:00-07:00,oxygen_concentration,8.9,mg/L,-9,ft
PMELCO2_cce1,2014-08-17 11:17:00-07:00,salinity,33.24,PSU,-3,ft
PMELCO2_crimp,2009-12-17 10:17:00-08:00,co2,498.0,ppm,-3,ft
PMELCO2_cce2,2010-12-24 10:17:00-08:00,salinity,32.66,PSU,-3,ft
CARLSBD_Aquafarm1,2020-03-01 07:00:25-08:00,pH,8.5415,,-15,ft
PMELCO2_kaneohe,2016-05-25 17:17:00-07:00,water_temperature,78.026,°F,-3,ft
PMELCO2_cce1,2009-07-09 08:17:00-07:00,water_temperature,60.494,°F,-3,ft
PMELCO2_cce2,2020-03-05 07:17:00-08:00,co2,381.8,ppm,-3,ft
NERRS_sfbsmwq,2021-11-02 02:45:00-07:00,oxygen_concentration,1.2,mg/L,-18,ft
PMELCO2_cce1,2010-03-18 17:17:00-07:00,salinity,33.06,PSU,-3,ft
PMELCO2_cce1,2015-03-16 23:17:00-07:00,salinity,33.19,PSU,-3,ft
PMELCO2_cce2,2010-03-28 17:17:00-07:00,salinity,33.2,PSU,-3,ft
PMELCO2_kaneohe,2013-02-24 19:16:00-08:00,water_temperature,73.886,°F,-3,ft
PMELCO2_cce2,2012-08-12 02:17:00-07:00,co2,339.8,ppm,-3,ft
PMELCO2_crimp,2019-03-29 11:17:00-07:00,co2,502.0,ppm,-3,ft
KC_SEAQYSI,2021-09-25 18:30:00-07:00,oxygen_saturation,63.7,%,-33,ft
PMELCO2_kaneohe,2014-08-15 02:17:00-07:00,water_temperature,80.726,°F,-3,ft
PMELCO2_whots,2018-07-11 17:17:00-07:00,co2,402.5,ppm,-3,ft
PMELCO2_cce1,2013-04-23 02:17:00-07:00,water_temperature,57.236,°F,-3,ft
PMELCO2_whots,2018-11-08 07:17:00-08:00,co2,407.0,ppm,-3,ft
PMELCO2_cce1,2021-10-14 08:17:00-07:00,co2,392.8,ppm,-3,ft
NERRS_pdbbpwq,2021-10-04 16:15:00-07:00,water_temperature,53.96,°F,-11,ft
PMELCO2_alawai,2013-06-05 17:17:00-07:00,water_temperature,79.574,°F,-3,ft
