platform_label,measurement_label,process
cencoos_Carquinez,H1_WaterTemp,True
cencoos_Humboldt,A1_PhotActiveRad,False
cencoos_Humboldt,A1_SolarRad,False
cencoos_Humboldt,H1_Chlorophyll,False
cencoos_Humboldt,H1_Conductiv,False
cencoos_Humboldt,H1_Oxygen,True
cencoos_Humboldt,H1_OxygenSat,True
cencoos_Humboldt,H1_pH,True
cencoos_Humboldt,H1_Pressure,True
cencoos_Humboldt,H1_Salinity,True
cencoos_Humboldt,H1_Turbidity,False
cencoos_Humboldt,H1_WaterDepth,False
cencoos_Humboldt,H1_WaterTemp,True
cencoos_Tiburon,H1_Chlorophyll,False
cencoos_Tiburon,H1_Conductiv,False
cencoos_Tiburon,H1_Oxygen,True
cencoos_Tiburon,H1_OxygenSat,True
cencoos_Tiburon,H1_pH,True
cencoos_Tiburon,H1_Pressure,True
cencoos_Tiburon,H1_Salinity,True
cencoos_Tiburon,H1_Turbidity,False
cencoos_Tiburon,H1_WaterTemp,True
cencoos_Trinidad,H1_Chlorophyll,False
cencoos_Trinidad,H1_Oxygen,True
cencoos_Trinidad,H1_OxygenSat,True
cencoos_Trinidad,H1_pH,True
cencoos_Trinidad,H1_Pressure,True
cencoos_Trinidad,H1_Salinity,True
cencoos_Trinidad,H1_Turbidity,False
cencoos_Trinidad,H1_WaterDepth,False
cencoos_Trinidad,H1_WaterTemp,True
